

x(m), Y
-9.00747e-06, 0.0143144
-8.97748e-06, 0.0147566
-8.94748e-06, 0.0154042
-8.91749e-06, 0.0162685
-8.88749e-06, 0.0173512
-8.8575e-06, 0.0186441
-8.82751e-06, 0.0201298
-8.79751e-06, 0.0217819
-8.76752e-06, 0.0235669
-8.73753e-06, 0.0254444
-8.70753e-06, 0.0273689
-8.67754e-06, 0.0292908
-8.64754e-06, 0.0311583
-8.61755e-06, 0.0329197
-8.58756e-06, 0.0345252
-8.55756e-06, 0.0359307
-8.52757e-06, 0.0371002
-8.49758e-06, 0.0380097
-8.46758e-06, 0.0386505
-8.43759e-06, 0.0390326
-8.40759e-06, 0.0391879
-8.3776e-06, 0.0391723
-8.34761e-06, 0.0390655
-8.31761e-06, 0.0389685
-8.28762e-06, 0.0389957
-8.25763e-06, 0.0392626
-8.22763e-06, 0.0398675
-8.19764e-06, 0.0408744
-8.16764e-06, 0.0422994
-8.13765e-06, 0.0441078
-8.10766e-06, 0.0462218
-8.07766e-06, 0.0485335
-8.04767e-06, 0.0509214
-8.01768e-06, 0.053263
-7.98768e-06, 0.0554453
-7.95769e-06, 0.0573714
-7.92769e-06, 0.0589651
-7.8977e-06, 0.0601729
-7.86771e-06, 0.0609657
-7.83771e-06, 0.0613394
-7.80772e-06, 0.0613136
-7.77773e-06, 0.0609312
-7.74773e-06, 0.0602555
-7.71774e-06, 0.0593674
-7.68774e-06, 0.0583602
-7.65775e-06, 0.0573341
-7.62776e-06, 0.0563884
-7.59776e-06, 0.0556132
-7.56777e-06, 0.0550808
-7.53778e-06, 0.0548386
-7.50778e-06, 0.0549049
-7.47779e-06, 0.0552687
-7.44779e-06, 0.0558939
-7.4178e-06, 0.0567253
-7.38781e-06, 0.0576965
-7.35781e-06, 0.0587364
-7.32782e-06, 0.0597746
-7.29783e-06, 0.0607445
-7.26783e-06, 0.0615847
-7.23784e-06, 0.0622401
-7.20784e-06, 0.0626613
-7.17785e-06, 0.0628047
-7.14786e-06, 0.0626334
-7.11786e-06, 0.0621168
-7.08787e-06, 0.0612329
-7.05788e-06, 0.0599697
-7.02788e-06, 0.058327
-6.99789e-06, 0.0563195
-6.96789e-06, 0.0539785
-6.9379e-06, 0.0513554
-6.90791e-06, 0.0485233
-6.87791e-06, 0.0455796
-6.84792e-06, 0.0426462
-6.81793e-06, 0.0398672
-6.78793e-06, 0.0374013
-6.75794e-06, 0.0354047
-6.72794e-06, 0.034003
-6.69795e-06, 0.0332583
-6.66796e-06, 0.033145
-6.63796e-06, 0.0335516
-6.60797e-06, 0.034307
-6.57798e-06, 0.0352181
-6.54798e-06, 0.0361008
-6.51799e-06, 0.036798
-6.48799e-06, 0.0371869
-6.458e-06, 0.0371794
-6.42801e-06, 0.0367198
-6.39801e-06, 0.0357812
-6.36802e-06, 0.0343621
-6.33803e-06, 0.0324823
-6.30803e-06, 0.0301802
-6.27804e-06, 0.027509
-6.24804e-06, 0.0245345
-6.21805e-06, 0.0213327
-6.18806e-06, 0.0179897
-6.15806e-06, 0.014605
-6.12807e-06, 0.0113054
-6.09808e-06, 0.00828941
-6.06808e-06, 0.00596451
-6.03809e-06, 0.00511915
-6.00809e-06, 0.00608656
-5.9781e-06, 0.00797452
-5.94811e-06, 0.0100416
-5.91811e-06, 0.0119858
-5.88812e-06, 0.0136827
-5.85813e-06, 0.0150732
-5.82813e-06, 0.0161275
-5.79814e-06, 0.0168323
-5.76814e-06, 0.0171865
-5.73815e-06, 0.0171993
-5.70816e-06, 0.0168914
-5.67816e-06, 0.0162962
-5.64817e-06, 0.0154626
-5.61818e-06, 0.0144598
-5.58818e-06, 0.0133822
-5.55819e-06, 0.0123546
-5.52819e-06, 0.0115299
-5.4982e-06, 0.0110663
-5.46821e-06, 0.0110754
-5.43821e-06, 0.0115657
-5.40822e-06, 0.0124368
-5.37823e-06, 0.0135311
-5.34823e-06, 0.0146883
-5.31824e-06, 0.0157737
-5.28824e-06, 0.0166851
-5.25825e-06, 0.0173524
-5.22826e-06, 0.0177366
-5.19826e-06, 0.0178298
-5.16827e-06, 0.0176575
-5.13828e-06, 0.0172821
-5.10828e-06, 0.016806
-5.07829e-06, 0.01637
-5.04829e-06, 0.0161406
-5.0183e-06, 0.0162769
-4.98831e-06, 0.0168812
-4.95831e-06, 0.0179613
-4.92832e-06, 0.0194326
-4.89833e-06, 0.0211524
-4.86833e-06, 0.0229603
-4.83834e-06, 0.0247033
-4.80834e-06, 0.0262479
-4.77835e-06, 0.0274836
-4.74836e-06, 0.0283247
-4.71836e-06, 0.0287094
-4.68837e-06, 0.0286008
-4.65838e-06, 0.0279864
-4.62838e-06, 0.0268787
-4.59839e-06, 0.025316
-4.56839e-06, 0.0233634
-4.5384e-06, 0.021117
-4.50841e-06, 0.01871
-4.47841e-06, 0.0163262
-4.44842e-06, 0.0142162
-4.41843e-06, 0.012698
-4.38843e-06, 0.0120772
-4.35844e-06, 0.0124563
-4.32845e-06, 0.0136348
-4.29845e-06, 0.0152625
-4.26846e-06, 0.0170265
-4.23846e-06, 0.018708
-4.20847e-06, 0.0201688
-4.17848e-06, 0.0213277
-4.14848e-06, 0.0221439
-4.11849e-06, 0.0226067
-4.0885e-06, 0.0227283
-4.0585e-06, 0.0225392
-4.02851e-06, 0.0220837
-3.99851e-06, 0.0214157
-3.96852e-06, 0.0205953
-3.93853e-06, 0.0196849
-3.90853e-06, 0.0187462
-3.87854e-06, 0.0178376
-3.84855e-06, 0.0170126
-3.81855e-06, 0.0163189
-3.78856e-06, 0.0157994
-3.75856e-06, 0.015492
-3.72857e-06, 0.0154285
-3.69858e-06, 0.0156329
-3.66858e-06, 0.0161167
-3.63859e-06, 0.0168759
-3.6086e-06, 0.0178894
-3.5786e-06, 0.0191206
-3.54861e-06, 0.0205214
-3.51861e-06, 0.0220364
-3.48862e-06, 0.023608
-3.45863e-06, 0.0251798
-3.42863e-06, 0.0266997
-3.39864e-06, 0.0281222
-3.36865e-06, 0.02941
-3.33865e-06, 0.0305347
-3.30866e-06, 0.0314772
-3.27866e-06, 0.032227
-3.24867e-06, 0.0327806
-3.21868e-06, 0.03314
-3.18868e-06, 0.0333094
-3.15869e-06, 0.0332937
-3.1287e-06, 0.0330947
-3.0987e-06, 0.0327102
-3.06871e-06, 0.0321325
-3.03871e-06, 0.0313484
-3.00872e-06, 0.0303408
-2.97873e-06, 0.0290911
-2.94873e-06, 0.0275832
-2.91874e-06, 0.0258074
-2.88875e-06, 0.0237668
-2.85875e-06, 0.021485
-2.82876e-06, 0.0190181
-2.79876e-06, 0.0164761
-2.76877e-06, 0.0140637
-2.73878e-06, 0.0121432
-2.70878e-06, 0.011249
-2.67879e-06, 0.0118218
-2.6488e-06, 0.0137797
-2.6188e-06, 0.0166539
-2.58881e-06, 0.0200012
-2.55881e-06, 0.0235227
-2.52882e-06, 0.0270233
-2.49883e-06, 0.0303674
-2.46883e-06, 0.0334553
-2.43884e-06, 0.0362111
-2.40885e-06, 0.0385769
-2.37885e-06, 0.0405103
-2.34886e-06, 0.0419816
-2.31886e-06, 0.0429726
-2.28887e-06, 0.0434748
-2.25888e-06, 0.0434877
-2.22888e-06, 0.0430171
-2.19889e-06, 0.0420736
-2.1689e-06, 0.040671
-2.1389e-06, 0.038826
-2.10891e-06, 0.0365568
-2.07891e-06, 0.0338843
-2.04892e-06, 0.0308319
-2.01893e-06, 0.0274274
-1.98893e-06, 0.0237046
-1.95894e-06, 0.0197068
-1.92895e-06, 0.0154934
-1.89895e-06, 0.0111585
-1.86896e-06, 0.00691858
-1.83896e-06, 0.00376716
-1.80897e-06, 0.00500231
-1.77898e-06, 0.00888553
-1.74898e-06, 0.0130932
-1.71899e-06, 0.0171714
-1.689e-06, 0.0209513
-1.659e-06, 0.0243201
-1.62901e-06, 0.0271869
-1.59901e-06, 0.0294753
-1.56902e-06, 0.031124
-1.53903e-06, 0.0320879
-1.50903e-06, 0.0323406
-1.47904e-06, 0.0318768
-1.44905e-06, 0.0307148
-1.41905e-06, 0.0289004
