

dx, Y
1e-09, -0.443701
2e-09, -0.415403
3e-09, -0.408021
5e-09, -0.404799
1e-08, -0.403157
2e-08, -0.401703
3e-08, -0.396331
4e-08, -0.384098
5e-08, -0.364898
6e-08, -0.330256
7e-08, -0.274976




dx, Y
1e-09, -0.441514
2e-09, -0.411469
3e-09, -0.404679
5e-09, -0.404374
1e-08, -0.406042
2e-08, -0.405919
3e-08, -0.400827
4e-08, -0.38873
5e-08, -0.369814
6e-08, -0.335581
7e-08, -0.280491




dx, Y
1e-09, -0.440111
2e-09, -0.409277
3e-09, -0.403705
5e-09, -0.407069
1e-08, -0.4128
2e-08, -0.413385
3e-08, -0.408085
4e-08, -0.395761
5e-08, -0.376563
6e-08, -0.341897
7e-08, -0.286157




dx, Y
1e-09, -0.456078
2e-09, -0.42438
3e-09, -0.418767
5e-09, -0.423324
1e-08, -0.430239
2e-08, -0.428111
3e-08, -0.422817
4e-08, -0.41384
5e-08, -0.399138
6e-08, -0.370158
7e-08, -0.319629


